Date,ticker,exit_state,exit_flag,triggers,rank,horizon,fwd_return
2022-05-19,ICBP.JK,EXIT,1,D2,99,90D,0.11791486038733923
2022-05-23,ICBP.JK,EXIT,1,D2,99,90D,0.130764398293576
2022-08-31,ICBP.JK,EXIT,1,D1,99,90D,0.20180720840988853
2023-03-01,ICBP.JK,EXIT,1,D1,99,90D,0.14141425248874384
2023-03-15,ICBP.JK,EXIT,1,D1,99,90D,0.24128688860788694
2023-03-17,ICBP.JK,EXIT,1,D1,99,90D,0.1989528409295087
2023-03-29,ICBP.JK,EXIT,1,D1,99,90D,0.1925998837950178
2023-09-14,ICBP.JK,EXIT,1,D1,99,90D,-0.040909127146499746
2023-09-27,ICBP.JK,EXIT,1,D1,99,90D,-0.031818189402755714
2023-10-11,ICBP.JK,EXIT,1,D1,99,90D,0.03971965578229719
2023-10-20,ICBP.JK,EXIT,1,D1,99,90D,0.07547174530491318
2023-10-25,ICBP.JK,EXIT,1,D1,99,90D,0.09090918848841145
2023-11-09,ICBP.JK,EXIT,1,D1,99,90D,0.0885168362871731
2023-11-21,ICBP.JK,EXIT,1,D1,99,90D,0.10000001942292913
2023-11-24,ICBP.JK,EXIT,1,D1,99,90D,0.10791371339740174
2023-11-29,ICBP.JK,EXIT,1,D1,99,90D,0.0833333009617847
2023-12-06,ICBP.JK,EXIT,1,D1,99,90D,0.023474252573842502
2023-12-13,ICBP.JK,EXIT,1,D1,99,90D,0.03791471622124609
2023-12-20,ICBP.JK,EXIT,1,D1,99,90D,0.09692662732426172
2023-12-27,ICBP.JK,EXIT,1,D1,99,90D,0.04018905645243942
2024-01-02,ICBP.JK,EXIT,1,D1,99,90D,-0.051643164168775235
2024-01-05,ICBP.JK,EXIT,1,D1,99,90D,-0.09324010055373011
2024-03-07,ICBP.JK,EXIT,1,D1,99,90D,-0.030373831998363188
2024-03-26,ICBP.JK,EXIT,1,D1,99,90D,-0.032077252389584365
2024-04-05,ICBP.JK,EXIT,1,D1,99,90D,0.02430654497636553
2024-04-18,ICBP.JK,EXIT,1,D2,99,90D,0.09532130614567413
2024-05-07,ICBP.JK,EXIT,1,D1,99,90D,0.04089906937705701
2024-05-30,ICBP.JK,EXIT,1,D1,99,90D,0.1451752790447054
2024-06-06,ICBP.JK,EXIT,1,D1,99,90D,0.12060681999100553
2024-06-25,ICBP.JK,EXIT,1,D2,99,90D,0.22856464061656379
2024-06-28,ICBP.JK,EXIT,1,D1,99,90D,0.2646107721118325
2024-07-05,ICBP.JK,EXIT,1,D1,99,90D,0.19078296881194823
2024-07-16,ICBP.JK,EXIT,1,D1,99,90D,0.1789976603048269
2024-11-14,ICBP.JK,EXIT,1,D1,99,90D,0.004366874016610511
2024-12-10,ICBP.JK,EXIT,1,D1,99,90D,-0.07675903982771592
2024-12-17,ICBP.JK,EXIT,1,D1,99,90D,-0.09978301644883703
2024-12-27,ICBP.JK,EXIT,1,D1,99,90D,-0.1312910405136588
2025-01-14,ICBP.JK,EXIT,1,D2,99,90D,0.023255863714798153
2025-01-30,ICBP.JK,EXIT,1,D1,99,90D,-0.03455729009839459
2025-02-05,ICBP.JK,EXIT,1,D2,99,90D,-0.013761478832778229
2025-02-26,ICBP.JK,EXIT,1,D2,99,90D,0.007142862585546084
2025-03-18,ICBP.JK,EXIT,1,D2,99,90D,-0.00665014101558381
2025-05-02,ICBP.JK,EXIT,1,D1,99,90D,-0.1295180955662646
2025-05-19,ICBP.JK,EXIT,1,D1,99,90D,-0.10450015887340625
2025-05-28,ICBP.JK,EXIT,1,D1+D2,99,90D,-0.13562505975333095
2025-07-04,ICBP.JK,EXIT,1,D2,99,90D,-0.10328638497652587
2022-01-03,INDF.JK,EXIT,1,D1,99,90D,-0.024000013865827285
2022-01-24,INDF.JK,EXIT,1,D1,99,90D,-0.007812534102667246
2022-02-09,INDF.JK,EXIT,1,D1,99,90D,0.007874050389864218
2022-03-15,INDF.JK,EXIT,1,D1,18,90D,0.16942148409858038
2022-03-31,INDF.JK,EXIT,1,D1,18,90D,0.18487399789344905
2022-08-31,INDF.JK,EXIT,1,D1,15,90D,0.008032104156558306
2022-09-08,INDF.JK,EXIT,1,D1,14,90D,0.08400005638040109
2022-09-12,INDF.JK,EXIT,1,D1,14,90D,0.10843371375932609
2022-09-19,INDF.JK,EXIT,1,D1,14,90D,0.12500002206330763
2022-09-23,INDF.JK,EXIT,1,D1,14,90D,0.11290324004084362
2022-11-25,INDF.JK,EXIT,1,D1,14,90D,0.03952574675084808
2023-02-21,INDF.JK,EXIT,1,D1,14,90D,0.13026823072043214
2023-02-23,INDF.JK,EXIT,1,D1,14,90D,0.12927750673560046
2023-02-27,INDF.JK,EXIT,1,D1,14,90D,0.12878799183953915
2023-03-08,INDF.JK,EXIT,1,D1,13,90D,0.19918696763805221
