Date,month_end_price,monthly_return,net_foreign_buy,return_3m,return_6m,return_12m,ihsg_price,stock_return_6m,ihsg_return_6m,rs_6m,rs_3m,rs_change,high_12m,drawdown,low_3m,recovery,ticker,state,month,quality_score,value_score,momentum_score,growth_score,final_score,fwd_return_3m,fwd_return_6m,volatility_3m,is_winner_3m,is_winner_6m,fwd_return_1m,recovery_norm,rs_3m_norm,rs_6m_norm,rs_change_norm,drawdown_norm,volatility_3m_norm,recovery_score,recovery_score_pctl,drawdown_12m,rs_3m_prev1,rs_3m_prev2,momentum_inflection,drawdown_prev2,drawdown_compression,winner_group_a,winner_group_b,mi_norm,dc_norm,early_reversal_score,early_reversal_pctl,er_quintile
2025-04-30,2481.0869140625,-0.0150942807419726,28148434189.25,-0.0711743700685569,-0.3392404992510766,-0.4293786662129785,6766.794921875,-0.3392404992510766,-0.1065780421879354,-0.2326624570631411,-0.0230112741993135,-0.0670088157528643,3811.93798828125,-0.3491271574485429,2214.91650390625,0.1201717580264669,SMGR.JK,AVOID,2025-04,,,,,,-0.0243871412174085,0.0869592951788188,0.1540817460113126,False,False,0.0711743700685569,-0.15719261049763258,-0.3321179766371844,-1.182212079650946,-0.8639808978361241,-0.931695303948286,0.3549418095201626,-0.4341395040187186,74.60317460317461,-0.3491271574485429,-0.114120372591547,-0.2156974100302147,False,-0.5967928484636232,True,False,False,-0.4766166807651434,0.5249999987399999,-0.38907884724235453,0.2857142857142857,Q2
2025-05-31,2671.20849609375,0.0766283441961117,14364670726.829998,0.2060086650592827,-0.1971428353388735,-0.1948423792545415,7175.81884765625,-0.1971428353388735,0.008652014613298,-0.2057948499521715,0.0616489405482707,0.0268676071109695,3811.93798828125,-0.2992518492416082,2481.0869140625,0.0766283441961117,SMGR.JK,WATCH,2025-05,,,,,,-0.0238095104419255,0.0676649276744493,0.0767406454422253,False,False,-0.0085855326441885,-0.6195461029625543,0.04339131419850198,-0.9017167819850793,-0.045305597599389326,-1.0140963337218114,-0.3059514524056008,-0.3883154997166155,66.66666666666667,-0.2992518492416082,-0.0230112741993135,-0.114120372591547,True,-0.4206335463084776,True,False,False,1.3246718188010609,0.45200027014201233,-0.1371368705025343,0.47619047619047616,Q3
2025-06-30,2648.469970703125,-0.0085124487376694,7352591455.179999,0.0513510053372272,-0.1531671418203607,-0.2530616488558344,6927.67919921875,-0.1531671418203607,-0.0215010781298439,-0.1316660636905168,-0.0127072678417359,0.0741287862616547,3811.93798828125,-0.3052169319529557,2481.0869140625,0.0674636006066204,SMGR.JK,WATCH,2025-06,,,,,,0.0528168617486682,-0.018939378640576,0.0511620221444553,False,False,-0.0934959861790576,-0.17541773664565652,-0.41962103499968506,-0.645214215256745,0.44684975027102625,-0.8987526896010656,-0.7427849215855411,-0.3371479924910285,57.14285714285714,-0.3052169319529557,0.0616489405482707,-0.0230112741993135,False,-0.3491271574485429,True,False,False,-0.57282196055698,0.9921567396804715,-0.1676942590926782,0.5873015873015873,Q3
2025-07-31,2422.020751953125,-0.0855019015714501,-6513537442.460001,-0.0238065671035525,-0.0932865197550193,-0.3483721351528859,7484.3369140625,-0.0932865197550193,0.0527684317317613,-0.1460549514867807,-0.1298452457500567,-0.0143888877962639,3811.93798828125,-0.3646222054506242,2422.020751953125,0.0,SMGR.JK,AVOID,2025-07,,,,,,0.1086956599864191,-0.0040815686211004,0.0810992674254706,False,False,0.0716981156792917,-0.4865762059363686,-0.3812566440630229,-0.5243802501349246,-0.07853717615630253,-1.4591583126082486,-0.2049392106764042,-0.3935735453436017,64.0625,-0.3646222054506242,-0.0127072678417359,0.0616489405482707,False,-0.2992518492416082,False,False,False,-0.25617376809898995,-0.743108581278644,-0.42772601287029866,0.3125,Q2
2025-08-31,2609.08740234375,0.0772357752260273,21926411081.33,-0.023255801200409,0.1779619672986931,-0.3155483089271996,7830.4931640625,0.1779619672986931,0.2487635474436083,-0.0708015801449151,-0.1144891963438884,0.0752533713418656,3754.901611328125,-0.3051515931942343,2422.020751953125,0.0772357752260272,SMGR.JK,WATCH,2025-08,,,,,,0.0893471267686213,0.0924657522613578,0.0814081130375565,False,False,0.0669014106027854,-0.1718174704482061,-0.30886668138023704,-0.20623467281250701,0.31971345122007067,-1.1610786246144162,-0.1899736639361399,-0.1724782019854563,46.875,-0.3051515931942343,-0.1298452457500567,-0.0127072678417359,False,-0.3052169319529557,True,False,False,-0.17819661022568029,0.9616214980018195,-0.04938327850177614,0.59375,Q3
2025-09-30,2796.154052734375,0.0716981156792917,12999665618.58,0.0557620375782634,0.1099764796047868,-0.223895135943835,8061.06201171875,0.1099764796047868,0.2381404331114653,-0.1281639535066785,-0.1078400548263349,-0.0573623733617634,3754.901611328125,-0.255332271743503,2422.020751953125,0.1544715504520544,SMGR.JK,AVOID,2025-09,,,,,,-0.0757575145623044,-0.1544715504520544,0.0923995513574329,False,False,-0.0289855033401236,0.025475889100440973,-0.2473147709905041,-0.3616808920743638,-0.3384081873726001,-1.0783821316756104,-0.2376318274188388,-0.196491844866552,42.1875,-0.255332271743503,-0.1144891963438884,-0.1298452457500567,False,-0.3646222054506242,True,False,False,-0.374999998875,0.9319689764240122,-0.0865819808110071,0.59375,Q3
2025-10-31,2717.38916015625,-0.0281690103952249,-6849051492.02,0.1219512293463791,0.0952414221180311,-0.2763088247217488,8163.875,0.0952414221180311,0.2064611229178325,-0.1112197007998014,0.0311565345403903,0.016944252706877,3327.1279296875,-0.1832627967474997,2609.08740234375,0.0415094403181787,SMGR.JK,WATCH,2025-10,,,,,,-0.1265305502784843,-0.379999929328854,0.0593215494508546,False,False,0.0515464356766454,-0.3837638673469573,-0.04463391468132956,-0.30355303470339084,0.25204888628994637,-0.8931098752279824,-0.5256594882831639,-0.2165910022135938,43.75,-0.1832627967474997,-0.1078400548263349,-0.1144891963438884,True,-0.3051515931942343,True,False,False,2.3055639160409096,0.7180703293172536,0.15574771908488277,0.765625,Q4
2025-11-30,2865.073486328125,0.05434787491512,159633064291.37997,0.0981132651035079,0.0725757613147286,-0.1388748653866078,8508.7060546875,0.0725757613147286,0.1857470534483454,-0.1131712921336167,0.0115014928414989,-0.0019515913338152,3127.500244140625,-0.0839094284018544,2717.38916015625,0.05434787491512,SMGR.JK,WEAK,2025-11,,,,,,0.0034246040224639,-0.6953097552237426,0.0533596446862839,False,False,-0.1022727198012116,-0.11693363217163454,0.0038489247816812463,-0.16645983772318673,0.31080865175802214,0.3124427112701177,-0.4763866496150712,-0.0837751797408846,35.9375,-0.0839094284018544,0.0311565345403903,-0.1078400548263349,False,-0.255332271743503,True,False,False,-0.45200027014201233,0.9319689764240122,0.01999090168945416,0.703125,Q4
2025-12-31,2599.241943359375,-0.0927834990052696,-18899182371.11,-0.0704224823315576,-0.0185873458594211,-0.1689075170404678,8646.9384765625,-0.0185873458594211,0.2481724727579237,-0.2667598186173449,-0.1431022935018518,-0.1535885264837281,2865.073486328125,-0.0927834990052696,2599.241943359375,0.0,SMGR.JK,WEAK,2025-12,,,,,,-0.0731707980880587,,0.0737469882903247,False,False,,-0.38414280092022024,-0.5028698617488707,-0.48971925252047716,-0.6905884398545369,0.1920673224901302,-0.1448870434766011,-0.447595199284289,78.125,-0.0927834990052696,0.0115014928414989,0.0311565345403903,False,-0.1832627967474997,True,False,False,-0.3191111026875793,1.58607218905619,-0.2567809289399479,0.484375,Q3
2023-01-31,146.0,0.0,0.0,0.0,0.0,0.0,6839.341796875,0.0,-0.0160810345675369,0.0160810345675369,0.0365618195020719,0.0072606385497565,146.0,0.0,146.0,0.0,SRIL.JK,WEAK,2023-01,,,,,,-0.0,-0.0,0.0,False,False,-0.0,-0.6204249238999885,0.4131832800570792,0.01587331221842273,0.08701306726384225,1.1446816082355706,-1.3071376679116886,-0.1810102923298873,64.16666666666666,0.0,,,False,,False,False,False,0.0,0.0,-0.0717493535965791,0.44166666666666665,Q3
2023-02-28,146.0,0.0,0.0,0.0,0.0,0.0,6843.23876953125,0.0,-0.0467154526889039,0.0467154526889039,0.0336200672310326,0.030634418121367,146.0,0.0,146.0,0.0,SRIL.JK,WEAK,2023-02,,,,,,-0.0,-0.0,0.0,False,False,-0.0,-0.6585236653361565,0.29679953056659314,0.16129225041250536,0.16276846523314054,1.0361650184743982,-1.3236063687375752,-0.1923425818335185,55.833333333333336,0.0,0.0365618195020719,,False,,False,False,False,0.0,0.0,-0.0828865328740088,0.5416666666666666,Q3
2023-03-31,146.0,0.0,0.0,0.0,0.0,0.0,6805.27685546875,0.0,-0.0334508959153659,0.0334508959153659,0.0066187134659646,-0.0132645567735379,146.0,0.0,146.0,0.0,SRIL.JK,WEAK,2023-03,,,,,,-0.0,-0.0,0.0,False,False,-0.0,-0.648915689355289,0.12101533839758184,0.276769342939708,0.22735638091764426,1.1116237927803916,-1.4993414649377337,-0.2302147474277631,55.00000000000001,0.0,0.0336200672310326,0.0365618195020719,False,0.0,False,False,False,-0.5161331624034808,-0.8547977269377416,-0.23726292160859286,0.4666666666666667,Q3
2023-04-30,146.0,0.0,0.0,0.0,0.0,0.0,6915.7158203125,0.0,-0.025803233023538,0.025803233023538,-0.0111668674714278,-0.0076476628918279,146.0,0.0,146.0,0.0,SRIL.JK,WEAK,2023-04,,,,,,-0.0,-0.0,0.0,False,False,-0.0,-0.7236790862283659,0.1989133270841538,0.4447799832812742,0.23861223251647584,1.0163612444939405,-1.4081576352985463,-0.1854282741383421,58.33333333333333,0.0,0.0066187134659646,0.0336200672310326,False,0.0,False,False,False,-0.3538642968201769,-0.9001370318384778,-0.20219730621949808,0.43333333333333335,Q3
2023-05-31,146.0,0.0,0.0,0.0,0.0,0.0,6633.26123046875,0.0,-0.0632724126943652,0.0632724126943652,0.0306839416443279,0.0374691796708271,146.0,0.0,146.0,0.0,SRIL.JK,WEAK,2023-05,,,,,,-0.0,-0.0,0.0,False,False,-0.0,-0.5532567516442062,0.40434503156423374,0.48371644277850073,0.1375489883350124,1.1411634661296728,-1.4421973832521375,-0.0783950674376675,46.66666666666666,0.0,-0.0111668674714278,0.0066187134659646,False,0.0,False,False,False,-0.40874494191805605,-0.8153389958896226,-0.10098679613269494,0.5333333333333333,Q3
2023-06-30,146.0,0.0,0.0,0.0,0.0,0.0,6661.87890625,0.0,-0.0275508286916357,0.0275508286916357,0.0210715819891317,-0.0357215840027295,146.0,0.0,146.0,0.0,SRIL.JK,WEAK,2023-06,,,,,,-0.0,-0.0,0.0,False,False,-0.0,-0.7651107152035991,0.015742643223005292,0.123451633236378,-0.9023827367794416,1.0727556604355049,-1.201975409974665,-0.4105559125140984,66.66666666666667,0.0,0.0306839416443279,-0.0111668674714278,False,0.0,False,False,False,-0.6096594017652525,-0.8711981244690896,-0.4454038350712501,0.2833333333333333,Q2
2023-07-31,146.0,0.0,0.0,0.0,0.0,0.0,6931.35888671875,0.0,0.0134540855796669,-0.0134540855796669,-0.0022619591106252,-0.0410049142713027,146.0,0.0,146.0,0.0,SRIL.JK,WEAK,2023-07,,,,,,-0.0,-0.0,0.0,False,False,-0.0,-1.0461487579542366,-0.21230670497299703,0.012763604556099392,-0.21467492806930494,0.9386982059280576,-1.30661554588375,-0.5271129695010355,78.33333333333333,0.0,0.0210715819891317,0.0306839416443279,False,0.0,False,False,False,-0.43091105302552135,-1.4029447458720223,-0.5698598356427901,0.2,Q1
2023-08-31,146.0,0.0,0.0,0.0,0.0,0.0,6953.259765625,0.0,0.0160773282650323,-0.0160773282650323,-0.0482415095739621,-0.0026232426853654,146.0,0.0,146.0,0.0,SRIL.JK,WEAK,2023-08,,,,,,-0.0,-0.0,0.0,False,False,-0.0,-0.6630772047471992,-0.5096544328969468,-0.017922295541360683,0.04314702654466677,0.9350003190054956,-1.1021020418147427,-0.4612994542056681,76.66666666666666,0.0,-0.0022619591106252,0.0210715819891317,False,0.0,False,False,False,-0.4309110530255213,-1.308252721278603,-0.49862678875554634,0.25,Q2
2023-09-30,146.0,0.0,0.0,0.0,0.0,0.0,6939.89208984375,0.0,0.0197810077729347,-0.0197810077729347,-0.0417319479243198,-0.0037036795079024,146.0,0.0,146.0,0.0,SRIL.JK,WEAK,2023-09,,,,,,-0.0,-0.0,0.0,False,False,-0.0,-0.4947098024038678,-0.27780172480352555,-0.21469450887071903,-0.3281829548643258,0.9282944085920848,-1.1389997811239423,-0.4214106349982031,65.57377049180329,0.0,-0.0482415095739621,-0.0022619591106252,False,0.0,False,False,False,-0.48120607769730894,-0.9764082200030036,-0.42864727350911347,0.4262295081967213,Q3
2023-10-31,146.0,0.0,0.0,0.0,0.0,0.0,6752.2109375,0.0,-0.0236425103432187,0.0236425103432187,0.0258460068431916,0.0434235181161535,146.0,0.0,146.0,0.0,SRIL.JK,WEAK,2023-10,,,,,,-0.0,-0.0,0.0,False,False,-0.0,-0.34832151251132126,0.1131995410062433,0.06941181822607737,0.5547006778604671,1.1844934269763536,-0.9909118078414652,-0.1002753415166798,40.98360655737705,0.0,-0.0417319479243198,-0.0482415095739621,True,0.0,False,False,False,3.378738363957811,-0.4812060776973089,0.27943850064417297,0.8032786885245902,Q4
