ticker,quality_score,growth_score,value_score,momentum_score,final_score,ROE,DER,Net Margin,Operating Margin,FCF,PE,PB,Revenue Growth,Net Income Growth,RS_6M,Return_12M,collection_date,source,weight_configuration,universe_version,factor_formula_version,quality_rank,growth_rank,value_rank,momentum_rank,final_rank
HEAL.JK,19.05,22.41,20.0,14.2,18.46,0.07834,,0.056209996,0.1254,-570719993856.0,35.459663,2.532161,0.054,-0.187,,,2026-06-05T20:20:31.263078,YahooFinance,standard_weights_v1,IDX30_2026_06,v3,27.0,25.5,27.0,56.0,30.0
MNCN.JK,,,,40.96,,,,,,,,,,,,,2026-06-05T20:20:31.263078,YahooFinance,standard_weights_v1,IDX30_2026_06,v3,,,,38.0,
INCO.JK,,,,93.74,,,,,,,,,,,,,2026-06-05T20:20:31.263078,YahooFinance,standard_weights_v1,IDX30_2026_06,v3,,,,3.0,
MBMA.JK,,,,70.74,,,,,,,,,,,,,2026-06-05T20:20:31.263078,YahooFinance,standard_weights_v1,IDX30_2026_06,v3,,,,19.0,
WSKT.JK,,,,65.03,,,,,,,,,,,,,2026-06-05T20:20:31.263078,YahooFinance,standard_weights_v1,IDX30_2026_06,v3,,,,21.5,
BSDE.JK,,,,20.43,,,,,,,,,,,,,2026-06-05T20:20:31.263078,YahooFinance,standard_weights_v1,IDX30_2026_06,v3,,,,53.0,
BTPS.JK,,,,29.91,,,,,,,,,,,,,2026-06-05T20:20:31.263078,YahooFinance,standard_weights_v1,IDX30_2026_06,v3,,,,51.0,
ARTO.JK,,,,11.78,,,,,,,,,,,,,2026-06-05T20:20:31.263078,YahooFinance,standard_weights_v1,IDX30_2026_06,v3,,,,58.0,
ICBP.JK,59.0,36.21,53.1,33.97,42.81,0.14631,,0.11969,0.20801,6226821251072.0,9.057971,1.5166079,0.076,-0.031,,,2026-06-05T20:20:31.263078,YahooFinance,standard_weights_v1,IDX30_2026_06,v3,10.0,21.5,11.0,44.0,20.0
LPKR.JK,,,,33.84,,,,,,,,,,,,,2026-06-05T20:20:31.263078,YahooFinance,standard_weights_v1,IDX30_2026_06,v3,,,,46.0,
MAPI.JK,44.85,77.59,35.17,87.46,68.62,0.17545,,0.051820002,0.0855,3872628146176.0,10.4494295,1.6938207,0.32,0.33,,,2026-06-05T20:20:31.263078,YahooFinance,standard_weights_v1,IDX30_2026_06,v3,22.0,4.0,23.5,6.0,3.0
ANTM.JK,50.62,70.69,46.55,62.28,60.32,0.24687,,0.09661999,0.15276,-4749535477760.0,9.671181,1.7939405,0.121,0.599,,,2026-06-05T20:20:31.263078,YahooFinance,standard_weights_v1,IDX30_2026_06,v3,14.0,7.5,14.5,24.0,7.0
JPFA.JK,,,,89.71,,,,,,,,,,,,,2026-06-05T20:20:31.263078,YahooFinance,standard_weights_v1,IDX30_2026_06,v3,,,,5.0,
INTP.JK,47.44,31.04,80.35,39.3,42.96,0.09884,,0.12803,0.05941,1880727224320.0,7.23589,0.69142926,-0.033,0.041,,,2026-06-05T20:20:31.263078,YahooFinance,standard_weights_v1,IDX30_2026_06,v3,20.0,24.0,2.0,40.0,19.0
JSMR.JK,,,,43.38,,,,,,,,,,,,,2026-06-05T20:20:31.263078,YahooFinance,standard_weights_v1,IDX30_2026_06,v3,,,,36.0,
AADI.JK,,,,85.07,,,,,,,,,,,,,2026-06-05T20:20:31.263078,YahooFinance,standard_weights_v1,IDX30_2026_06,v3,,,,8.0,
PTBA.JK,49.96,55.17,60.34,81.98,63.77,0.14413999,,0.07837,0.08306,488093122560.0,9.587859,1.360204,-0.003,1.047,,,2026-06-05T20:20:31.263078,YahooFinance,standard_weights_v1,IDX30_2026_06,v3,18.0,14.0,9.0,11.0,4.0
BUKA.JK,,,,32.2,,,,,,,,,,,,,2026-06-05T20:20:31.263078,YahooFinance,standard_weights_v1,IDX30_2026_06,v3,,,,47.0,
ADRO.JK,53.77,79.31,46.21,92.97,74.4,0.10256,,0.2543,0.31133,-21144876.0,7.524454,13529.412,0.234,0.748,,,2026-06-05T20:20:31.263078,YahooFinance,standard_weights_v1,IDX30_2026_06,v3,12.0,3.0,16.0,4.0,1.0
TPIA.JK,50.22,65.52,43.1,0.78,36.79,0.42368,,0.14337,0.16072,-1840610688.0,4.7709413,41511.625,2.864,,,,2026-06-05T20:20:31.263078,YahooFinance,standard_weights_v1,IDX30_2026_06,v3,17.0,10.5,17.0,64.0,27.0
