date,ticker,weight,rank,return_12m
2024-03,BBRI.JK,20.0,3,0.3476
2024-03,BBNI.JK,20.0,4,0.3223
2024-03,AKRA.JK,20.0,5,0.2345
2024-04,BMRI.JK,20.0,1,0.4015
2024-04,MEDC.JK,20.0,2,0.3902
2024-04,BRPT.JK,20.0,3,0.2241
2024-04,BBNI.JK,20.0,4,0.1673
2024-04,AKRA.JK,20.0,5,0.1502
2024-05,MEDC.JK,20.0,1,0.6032
2024-05,ESSA.JK,20.0,2,0.5896
2024-05,ADRO.JK,20.0,3,0.5877
2024-05,BRPT.JK,20.0,4,0.4043
2024-05,PTBA.JK,20.0,5,0.3368
2024-06,MEDC.JK,20.0,1,0.5531
2024-06,ADRO.JK,20.0,2,0.4629
2024-06,ESSA.JK,20.0,3,0.3375
2024-06,BRPT.JK,20.0,4,0.3322
2024-06,PGAS.JK,20.0,5,0.3015
2024-07,PGEO.JK,20.0,1,0.6118
2024-07,ADRO.JK,20.0,2,0.5623
2024-07,BRPT.JK,20.0,3,0.41
2024-07,PGAS.JK,20.0,4,0.2927
2024-07,AKRA.JK,20.0,5,0.213
2024-08,ADRO.JK,20.0,1,0.5591
2024-08,BMRI.JK,20.0,2,0.2431
2024-08,PGAS.JK,20.0,3,0.2352
2024-08,ARTO.JK,20.0,4,0.2318
2024-08,BBNI.JK,20.0,5,0.2219
2024-09,ADRO.JK,20.0,1,0.5632
2024-09,ARTO.JK,20.0,2,0.5099
2024-09,ACES.JK,20.0,3,0.2764
2024-09,PTBA.JK,20.0,4,0.2728
2024-09,BMRI.JK,20.0,5,0.2082
2024-10,ARTO.JK,20.0,1,0.8032
2024-10,ADRO.JK,20.0,2,0.6535
2024-10,PTBA.JK,20.0,3,0.381
2024-10,PGAS.JK,20.0,4,0.3753
2024-10,BMRI.JK,20.0,5,0.241
2024-11,PGAS.JK,20.0,1,0.5035
2024-11,ADRO.JK,20.0,2,0.4737
2024-11,UNTR.JK,20.0,3,0.3414
2024-11,PTBA.JK,20.0,4,0.2909
2024-11,INDF.JK,20.0,5,0.228
2024-12,ADRO.JK,20.0,1,0.8249
2024-12,PGAS.JK,20.0,2,0.5518
2024-12,PTBA.JK,20.0,3,0.3041
2024-12,UNTR.JK,20.0,4,0.2984
2024-12,INDF.JK,20.0,5,0.2475
2025-01,ADRO.JK,20.0,1,0.7352
2025-01,PGAS.JK,20.0,2,0.5147
2025-01,INDF.JK,20.0,3,0.2868
2025-01,PTBA.JK,20.0,4,0.1925
2025-01,UNTR.JK,20.0,5,0.1892
2025-02,ADRO.JK,20.0,1,0.5288
2025-02,PGAS.JK,20.0,2,0.5228
2025-02,ANTM.JK,20.0,3,0.1767
2025-02,PTBA.JK,20.0,4,0.1706
2025-02,INDF.JK,20.0,5,0.1239
2025-03,PGAS.JK,20.0,1,0.261
2025-03,ADRO.JK,20.0,2,0.2213
2025-03,GOTO.JK,20.0,3,0.2029
2025-03,INDF.JK,20.0,4,0.1638
2025-03,ANTM.JK,20.0,5,0.1076
2025-04,ANTM.JK,20.0,1,0.4342
2025-04,GOTO.JK,20.0,2,0.3492
2025-04,INDF.JK,20.0,3,0.3376
2025-04,PGAS.JK,20.0,4,0.2642
2025-04,ADRO.JK,20.0,5,0.2531
2025-05,ANTM.JK,20.0,1,1.1229
2025-05,INDF.JK,20.0,2,0.4007
2025-05,ADRO.JK,20.0,3,0.316
